50 100
1 2 10
2 3 2
2 4 4
3 5 12
3 6 5
5 7 4
7 8 7
7 9 15
5 10 10
6 11 1
1 12 6
9 13 8
1 14 1
5 15 3
10 16 2
2 17 12
2 18 13
6 19 15
5 20 7
5 21 12
12 22 4
13 23 8
4 24 15
4 25 6
15 26 5
16 27 8
11 28 10
20 29 13
20 30 12
26 31 5
16 32 9
8 33 4
4 34 2
17 35 10
6 36 13
23 37 9
13 38 1
18 39 2
3 40 1
21 41 9
25 42 1
14 43 10
24 44 5
40 45 15
11 46 7
33 47 11
3 48 12
34 49 2
5 50 2
28 43 3
32 33 7
7 50 2
11 47 2
32 34 5
7 39 15
3 23 5
22 42 11
3 42 10
7 40 7
29 30 1
34 46 9
2 11 5
7 15 6
25 45 9
6 43 9
4 26 5
1 20 3
2 21 8
3 37 4
45 49 10
17 24 1
2 15 5
29 43 14
35 41 10
28 46 2
29 45 13
19 22 5
13 45 8
5 12 14
13 49 13
27 50 4
4 38 14
22 28 3
25 27 9
10 41 2
20 34 5
18 41 15
24 30 3
22 49 13
17 34 4
15 17 12
40 50 10
42 49 14
18 49 6
37 42 5
15 31 2
42 45 6
19 46 2
10 14 13
5 47 4
